wifiMAC,time,Status,VRMS A,VRMS B,VRMS C,IRMS A,IRMS B,IRMS C,Active Power(W) A,Active Power(W) B,Active Power(W) C,Active Energy(WHR) A,Active Energy(WHR) B,Active Energy(WHR) C,Reactive Power(VAR) A,Reactive Power(VAR) B,Reactive Power(VAR) C,Reactive Energy(AHHR) A,Reactive Energy(AHHR) B,Reactive Energy(AHHR) C,Apparent Power(VA) A,Apparent Power(VA) B,Apparent Power(VA) C,Apparent Energy(VARHR) A,Apparent Energy(VARHR) B,Apparent Energy(VARHR) C,VTHD A,VTHD B,VTHD C,ITHD A,ITHD B,ITHD C,Power Factor A,Power Factor B,Power Factor C,Frequency A,Frequency B,Frequency C
serial: dc:a6:32:89:f2:d0,2023-09-08 07:11,Recover,118.58,121.78,123.23,0.63,0.31,0.44,-30.76,-0.06,0.10,-0.01,-0.00,0.00,101.37,-0.15,-0.30,0.03,-0.00,-0.00,78.31,0.15,0.22,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,1.75,1.77,59.84,59.84,59.84
serial: dc:a6:32:89:f2:d0,2023-09-08 07:12,Recover,118.39,121.62,123.03,0.62,0.25,0.44,-29.69,-0.06,0.09,-0.01,-0.00,0.00,95.46,-0.15,-0.30,0.03,-0.00,-0.00,76.26,0.14,0.22,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,1.75,1.77,59.77,59.77,59.79
serial: dc:a6:32:89:f2:d0,2023-09-08 07:13,Recover,118.37,121.59,123.01,0.59,0.25,0.44,-27.86,-0.07,0.09,-0.01,-0.00,0.00,89.56,0.00,-0.30,0.02,0.00,-0.00,72.15,0.14,0.21,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,1.75,1.73,59.80,59.81,59.80
serial: dc:a6:32:89:f2:d0,2023-09-08 07:14,Recover,118.30,121.50,122.91,0.63,0.31,0.44,-30.78,-0.07,0.10,-0.01,-0.00,0.00,100.48,0.00,-0.30,0.03,0.00,-0.00,78.10,0.15,0.22,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,1.75,1.75,59.80,59.80,59.80
serial: dc:a6:32:89:f2:d0,2023-09-08 07:15,Recover,118.34,121.52,122.99,0.60,0.25,0.44,-29.29,-0.06,0.09,-0.01,-0.00,0.00,85.14,0.00,-0.30,0.02,0.00,-0.00,74.41,0.14,0.22,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,1.88,1.75,59.87,59.88,59.87
serial: dc:a6:32:89:f2:d0,2023-09-08 07:16,Recover,118.34,121.50,122.96,0.59,0.25,0.44,-28.59,-0.06,0.09,-0.01,-0.00,0.00,87.94,-0.15,-0.30,0.02,-0.00,-0.00,72.86,0.14,0.22,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,1.71,1.75,59.86,59.87,59.87
serial: dc:a6:32:89:f2:d0,2023-09-08 07:16,Recover,118.27,121.47,122.94,0.63,0.25,0.44,-30.83,-0.06,0.10,-0.01,-0.00,0.00,96.64,0.00,-0.15,0.03,0.00,-0.00,3.73,0.14,0.22,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,1.88,1.75,59.86,59.86,59.86
serial: dc:a6:32:89:f2:d0,2023-09-08 07:17,Recover,118.32,121.52,122.96,0.59,0.25,0.44,-27.34,-0.06,0.09,-0.01,-0.00,0.00,96.05,-0.15,-0.15,0.03,-0.00,-0.00,72.58,0.15,0.21,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,1.75,1.82,59.88,59.88,59.88
serial: dc:a6:32:89:f2:d0,2023-09-08 07:18,Recover,118.30,121.45,122.94,0.59,0.25,0.44,-27.76,-0.06,0.09,-0.01,-0.00,0.00,90.00,0.00,-0.30,0.03,0.00,-0.00,73.15,0.14,0.21,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,1.71,1.75,59.95,59.95,59.95
serial: dc:a6:32:89:f2:d0,2023-09-08 07:19,Recover,118.30,121.47,122.94,0.59,0.25,0.38,-27.90,-0.05,0.09,-0.01,-0.00,0.00,91.63,-0.15,-0.30,0.03,-0.00,-0.00,72.79,0.14,0.21,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,1.75,1.75,59.97,59.97,59.97
